type-nn fair hold-out board
===========================

Split: xorshift32 Fisher-Yates, seed 34972, 70/30. Same cut for every impl.
Board models: the three scale probes (energy, jac, mix), the Or/And
spawn they drive, and the depth probes (early / hold / born).
c-mlp is the only non-type-nn row (Linear-ReLU-Linear baseline).
or+/or- = dummy Or (×1) promoted / collapsed.
and+/and- = dummy And (product ≡ 1) promoted / collapsed.
L+/L- = identity layer insert / drop.
us/infer = mean microseconds per forward over >=200 ms wall (never 0).
hold_acc is n/a on diabetes (regression) only. XOR prints threshold acc
on all 4 points (no 70/30 cut exists).
Sorted by (hold_mse, params, train_s, mse, hold_acc asc, acc asc).

task         impl                         hold_mse  params   train_s      mse  hold_acc     acc   nbytes    us/infer  or+ or- and+ and-  L+  L-
-----------------------------------------------------------------------------------------------------------------------------------------------
xor          c-mlp                         0.00000      33   0.0003  0.00000  1.000  1.000     264   0.000001    0   0    0    0   0   0
xor          type-nn-scale-sched-wide      0.00000      28   0.0021  0.00000  1.000  1.000    2464   0.000001    7   9    4    3   0   0
xor          type-nn-scale-sched-tight     0.00000      28   0.0021  0.00000  1.000  1.000    2464   0.000001    7   9    4    3   0   0
xor          type-nn-winner                0.00000      28   0.0026  0.00000  1.000  1.000    2464   0.000001    7   9    4    3   0   0
xor          type-nn-scale-sched           0.00000      28   0.0027  0.00000  1.000  1.000    2464   0.000001    7   9    4    3   0   0
xor          type-nn-scale-mix+depth-hold  0.00009      24   0.0011  0.00009  1.000  1.000    2856   0.000001    0   1    0    0   1   0
xor          type-nn-scale-mix+depth-hold  0.00009      24   0.0012  0.00009  1.000  1.000    2856   0.000001    0   1    0    0   1   0
xor          type-nn-depth-born            0.00034     219   0.0086  0.00034  1.000  1.000   17952   0.000001    7   6    3    1   1   0
xor          type-nn-scale-energy          0.00106      12   0.0008  0.00106  1.000  1.000    1504   0.000001    0   1    0    0   0   0
xor          type-nn-scale-mix+slim-budge  0.00106      12   0.0011  0.00106  1.000  1.000    1504   0.000001    0   1    0    0   0   0
xor          type-nn-scale-mix             0.00106      12   0.0011  0.00106  1.000  1.000    1504   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac             0.00106      12   0.0012  0.00106  1.000  1.000    1504   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+slim-budge  0.00106      12   0.0012  0.00106  1.000  1.000    1504   0.000001    0   1    0    0   0   0
xor          type-nn-scale-mix+slim-k      0.01554      10   0.0007  0.01554  1.000  1.000    1392   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+slim-k      0.01554      10   0.0012  0.01554  1.000  1.000    1392   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+slim-cap    0.02400       9   0.0006  0.02400  1.000  1.000    1288   0.000001    0   1    0    0   0   0
xor          type-nn-scale-mix+slim-cap    0.02400       9   0.0011  0.02400  1.000  1.000    1288   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+slim-cap+s  0.02400       9   0.0016  0.02400  1.000  1.000    1288   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+depth-earl  0.25000      36   0.0018  0.25000  0.750  0.750    3912   0.000001    0   1    0    0   1   0
xor          type-nn-depth-hold            0.25000      45   0.0023  0.25000  0.750  0.750    4560   0.000001   15  18    7    5   1   0
xor          type-nn-scale-mix+slim-cap+s  0.25040       6   0.0010  0.25040  0.500  0.500    1120   0.000001    0   1    0    0   0   0
xor          type-nn-scale-jac+slim-prune  0.25077       8   0.0011  0.25077  0.250  0.250    1280   0.000001    0   1    0    0   0   0
xor          type-nn-scale-mix+slim-prune  0.25077       8   0.0012  0.25077  0.250  0.250    1280   0.000001    0   1    0    0   0   0
xor          type-nn-depth-early           2.50000      45   0.0026  2.50000  0.500  0.500    4656   0.000001    7   9    3    2   1   0

iris         type-nn-scale-mix             0.01623     115   0.0511  0.00576  0.978  0.990    8760   0.000001   66  58    0    0   0   0
iris         type-nn-scale-mix+slim-budge  0.01623     115   0.0540  0.00576  0.978  0.990    8760   0.000001   66  58    0    0   0   0
iris         type-nn-scale-energy          0.01671     170   0.0711  0.00586  0.978  0.990   13328   0.000001   25  49   33   23   0   0
iris         type-nn-scale-mix+depth-hold  0.01810     106   0.0583  0.00192  0.978  1.000    9032   0.000001   12   8    0    0   1   0
iris         type-nn-scale-jac+depth-earl  0.01823     140   0.0798  0.00050  0.978  1.000   11656   0.000001    0   3    0    0   1   0
iris         type-nn-depth-early           0.01922     285   0.1104  0.00010  0.978  1.000   21744   0.000001  137 157   40   34   1   0
iris         type-nn-scale-jac             0.01996      60   0.0416  0.01421  0.978  0.981    5152   0.000001    0   3    0    0   0   0
iris         type-nn-scale-jac+slim-budge  0.01996      60   0.0425  0.01421  0.978  0.981    5152   0.000001    0   3    0    0   0   0
iris         type-nn-scale-mix+depth-hold  0.02012     130   0.0713  0.00068  0.978  1.000   10616   0.000001   12   9    0    0   1   0
iris         type-nn-scale-sched-tight     0.02162      75   0.0698  0.01365  0.956  0.981    7408   0.000001   40  66   26   23   0   0
iris         type-nn-winner                0.02239      90   0.0728  0.01336  0.956  0.981    8912   0.000001   55  83   30   25   0   0
iris         type-nn-scale-sched           0.02239      90   0.0857  0.01336  0.956  0.981    8912   0.000001   55  83   30   25   0   0
